name_book,avtor,rating,count_favourites,count_views,age_restriction,comments_count,publication_date,pages,price,target
Хрупкая связь,Ольга Джокер,1614.0,5954,16572,18+,289,06.12.2024,11,0.0,1427
Монстр,Анна Шварц,1337.0,5604,46264,18+,327,25.11.2024,35,119.0,1133
Девочка для Хана,Рина Каримова,848.0,5656,70370,18+,133,19.11.2024,33,0.0,846
Развод в 55. Ты меня больше не любишь,Арина Арская,822.0,5426,120077,0,721,20.11.2024,36,0.0,778
Мария. Королева Нисландии,Полина Ром,1698.0,8728,315622,0,1143,07.09.2024,200,159.0,1588
Развод.com,Ольга Рузанова,1395.0,5761,27340,18+,0,05.12.2024,15,0.0,1291
"Позор рода, или Выжить в академии ненависти",Анастасия Милославская,2395.0,16459,905972,0,707,22.08.2024,164,0.0,2379
"Измена. Просчиталась, но...где?",Маргарита Дюжева,2197.0,9622,588494,0,1484,10.10.2024,92,119.0,2149
Неверный отец. Счастье в конверте,Вероника Лесневская,2187.0,11015,386600,0,726,31.10.2024,67,119.0,2137
Рубиновое сердце,Asti Brams,2135.0,11739,564072,18+,913,25.06.2024,156,129.0,2129
Медсестра из другого мира,Юки,924.0,7893,174310,0,262,01.11.2024,54,0.0,850
Неродственная связь,Ольга Джокер,3070.0,10111,487253,18+,2238,20.09.2024,210,0.0,2936
Развод в 50. Начать сначала,Александра Багирова,1682.0,9335,1046751,0,2420,03.10.2024,143,119.0,1664
Телохранитель для дочери генерала драконов,Мария Лунёва,1666.0,8881,329445,0,502,26.08.2024,178,119.0,1592
Отец моей подруги,Тала Тоцка,2435.0,14359,769179,18+,565,24.07.2024,97,0.0,2433
Развод. Моя новая жизнь,Елена Безрукова,2553.0,14472,823128,0,1022,23.10.2024,57,119.0,2509
Две полоски. Отец моего ребенка,Дина Ареева,2232.0,11688,364763,18+,375,15.10.2024,59,139.0,2220
Невинная для миллиардера. Брак по контракту,Татьяна Романская,2789.0,13362,900887,18+,183,05.07.2024,211,199.0,2759
Сделаю своей навсегда,Елена Безрукова,1643.0,5698,607796,18+,382,28.05.2024,178,159.0,991
Развод. Научусь жить без тебя,Елена Безрукова,3141.0,17112,1779028,0,1135,23.09.2024,98,119.0,3125
Хочу тебя себе,Маша Малиновская,1170.0,6769,78869,18+,177,17.11.2024,46,0.0,1028
Бывший. Продолжай жить без нас,Милана Лотос,636.0,5064,245155,0,174,05.11.2024,53,0.0,630
Предатель. Я желаю тебе счастья с другой,Арина Арская,1709.0,7512,497499,0,1938,23.09.2024,136,119.0,1655
Измена. Как приручить короля?,Этель Дэй,689.0,4596,174892,0,300,05.10.2023,187,153.0,668
Невеста с сюрпризом,Маша Кужель,1607.0,11258,295168,18+,104,22.10.2024,156,199.0,1605
"В прятки с драконом, или Найди меня, если осмелишься",Алиса Ардова,1176.0,8169,251557,0,185,08.11.2024,152,0.0,1148
Лютый,Рина Каримова,1834.0,8557,436241,18+,532,23.08.2024,117,119.0,1832
Развод. Я была слепа,Елена Попова,1754.0,8029,470905,0,801,21.10.2024,93,119.0,1680
Близнецы от бывшего мужа. Душа на разрыв,Виктория Вишневская,1644.0,8734,455082,0,619,27.10.2024,83,119.0,1612
Развод. Муж полюбил молодую,Ева Стоун,597.0,4498,70757,18+,136,21.11.2024,34,0.0,597
Развод. Осколки нашей семьи,Тая Наварская,601.0,5437,171814,0,116,11.11.2024,48,0.0,595
"Обмани, но останься...",Рита Навьер,2479.0,11873,390798,0,0,19.08.2024,176,119.0,2383
Предатель. Цена ошибки,Ая Кучер,5128.0,14642,3152145,0,2581,13.03.2023,289,159.0,4981
Жестокий брак,Кира Шарм,1805.0,11111,1119527,0,0,26.07.2024,201,129.0,1803
Золушка во власти босса,Астра Веер,10371.0,9989,1000460,0,381,26.07.2022,182,149.0,2065
Омега для Альфа Ректоров. Академия Псиоников,Миа Мори,974.0,6608,150268,18+,154,16.11.2024,42,0.0,934
Пленница,Ольга Вечная,2618.0,7859,239081,18+,1942,13.10.2024,140,119.0,2175
В объятиях тьмы,Сара Адам,858.0,4868,58756,18+,114,15.11.2024,49,0.0,758
Землянка не на продажу,Елена Сергеева,1581.0,8954,309758,18+,268,30.09.2024,118,119.0,1555
Неженка и космодесант,Дина Дружинина,984.0,8104,230495,18+,203,28.10.2024,72,0.0,948
"Жена неверного генерала, или Попаданка на отборе",Матильда Аваланж,1472.0,11721,672947,0,1179,06.10.2024,175,119.0,1418
( Не)любимая жена. Развод с оборотнем,Эми Мун,1582.0,9110,453843,18+,423,12.09.2024,129,99.0,1534
"Пышка для генерала драконов, или Слава кабачкам!",Ольга Коротаева,1790.0,16752,684832,0,455,25.07.2024,141,139.0,1738
Не буду второй,Кристина Майер,1646.0,9100,421171,18+,444,29.08.2024,131,119.0,1628
Измена.ru,Ольга Рузанова,2268.0,6875,269245,18+,0,04.10.2024,141,0.0,2038
Домовая фея в семье драконов,Елена Смертная,2954.0,18159,821016,0,404,28.05.2021,262,0.0,2526
В лапах зверя,Мария Зайцева,1117.0,5696,66389,18+,192,18.11.2024,40,0.0,1063
Дом быта госпожи попаданки,Адель Хайд,1526.0,8927,564527,0,805,19.09.2024,185,119.0,1452
Добро пожаловать в шкуру злодейки,Майарана Мистеру,1583.0,10720,645092,0,872,26.09.2024,157,149.0,1499
Код измены. Я требую развод!,Виктория Волкова,1013.0,4133,94727,0,457,20.11.2024,46,119.0,923
Отброс,Анна Шварц,3109.0,11651,572918,18+,1910,29.11.2023,162,0.0,2818
Великие игры драконов,Натали Лансон,2467.0,10323,604406,18+,1804,25.07.2024,343,149.0,2433
Деревенский роман,Юлия Резник,1406.0,5292,88592,18+,318,17.11.2024,56,0.0,1400
"Будешь моя, Принцесса",Инна Стужева,3887.0,25004,1070780,18+,0,17.06.2024,268,129.0,3869
Огнев на линии любви,Лина Коваль,1375.0,5641,229628,18+,0,01.09.2024,146,119.0,1339
"Скандальная свадьба, или Хозяйка таверны ""Стейк из дракона""",Анастасия Милославская,1664.0,13776,836586,0,989,02.07.2024,244,119.0,1628
Развод с жестоким драконом,Елена Солт,569.0,5241,50898,0,170,27.11.2024,26,0.0,563
Бойся моего ада,Виктория Вашингтон,1673.0,8941,230675,18+,507,06.09.2024,103,0.0,1653
Трофей для бандита,Ая Кучер,1812.0,9896,274659,18+,356,19.09.2024,77,0.0,1812
Госпожа Доктор,Александра Каплунова,841.0,5721,178954,0,214,09.11.2024,66,0.0,743
Развод. Я календарь переверну,Элен Блио,2677.0,10572,910346,18+,1525,02.09.2024,162,119.0,2653
"Хищник, который меня купил",Ева Арманда,1220.0,7804,466973,18+,293,14.09.2024,113,119.0,1206
"Больше не люблю тебя, жена",Лена Голд,2424.0,10382,414293,0,0,29.08.2024,162,119.0,2416
Преданные,Мария Акулова,1618.0,5803,245130,18+,0,16.10.2024,148,129.0,1460
Предатель. Право на измену,Ая Кучер,2480.0,11232,711970,0,1026,03.09.2024,92,129.0,2476
Новая мама в семье драконов,Елена Смертная,1378.0,6091,313876,0,234,19.09.2021,342,159.0,1150
Измена. Во власти лжи.,Анна Томченко,1587.0,7092,518395,0,1268,17.09.2024,137,119.0,1529
Скандальная история старой девы,Анастасия Милославская,529.0,5088,40981,0,145,28.11.2024,27,0.0,523
Не тайная связь,Амина Асхадова,1193.0,4406,126058,18+,980,31.10.2024,147,129.0,1015
"Развод. Дорогая, ты вышла в тираж!",Оксана Барских,634.0,4262,79653,0,171,22.11.2024,38,0.0,593
Развод по драконьим правилам. Беглянка ночного короля,Мария Лунёва,559.0,5292,46403,0,64,23.11.2024,32,0.0,559
Запретная. Не остановить,Инна Стужева,10624.0,22949,3953478,18+,3070,10.01.2023,338,159.0,8608
Тени прошлых страстей,Маша Кужель,2590.0,11192,262382,18+,26,10.12.2023,156,159.0,2583
Ты – всё,Елена Тодорова,13303.0,19307,2551741,18+,3445,07.11.2023,455,179.0,9323
Предатель. Ты сделал мне больно,Ари Дале,1345.0,5972,449394,18+,1494,25.08.2024,158,119.0,1321
Хозяйка забытой усадьбы,Александра Воронцова,1966.0,12885,771517,0,789,13.05.2024,297,99.0,1620
Аукцион истинных невест,Наталья Дорофеева,3169.0,11116,407436,0,915,27.10.2024,67,0.0,1985
Давай сыграем в любовь,Ники Сью,660.0,3833,69323,0,188,03.11.2024,63,0.0,640
Неверный,Тала Тоцка,15572.0,30308,6617098,0,4029,21.03.2023,273,169.0,13439
Обречен тобой,Юлия Резник,1601.0,6201,213426,18+,818,23.10.2024,107,129.0,1543
"Измена, или Холодный расчёт",Настя Ильина,1375.0,3950,367712,0,381,14.03.2023,193,149.0,1252
Последняя из забытого рода 3. Маски сброшены,Ирина Властная,892.0,5391,65541,0,185,17.10.2024,175,119.0,759
Ребёнок от Бывшего-Босса. Новая встреча,Марика Крамор,1399.0,7559,448201,0,461,23.09.2024,120,129.0,1375
Обрученные,Диана Рымарь,1438.0,7451,715244,18+,1700,20.06.2024,284,129.0,1430
Бывший. Ты пожалеешь!,Ира Орлова,665.0,3572,88599,18+,165,08.11.2024,78,109.0,657
Запасной аэродром,Натаэль Зика,3202.0,4658,1041916,0,4365,18.05.2023,379,159.0,2872
Сбежать от жестокого мужа,Арина Вильде,1104.0,6692,131301,18+,260,17.11.2024,66,129.0,1040
Укрощение генерального,Татьяна Романская,855.0,4940,365939,18+,88,20.08.2024,189,169.0,851
После измены. Вернуть жену,Арина Громова,7240.0,20156,2794867,0,0,03.06.2023,235,159.0,6928
Делари. Ловушка магистра,Лана Волкова,1036.0,5626,105826,0,320,03.11.2024,86,139.0,974
Развод по драконьим традициям. Жена золотого лорда,Алекс Найт,658.0,5209,127604,0,244,06.11.2024,100,0.0,644
Кавказский хищник. Хорошая девочка станет плохой,Иман Кальби,1463.0,8041,570292,18+,665,09.08.2024,191,119.0,1445
Однажды на реалити-шоу,Алайна Салах,1469.0,4619,10881,18+,193,05.12.2024,10,0.0,1327
Вылюби меня,Мила Младова,566.0,3100,105168,18+,47,18.09.2024,181,149.25,566
"Ненужная невеста, или Ошибка в Академии",Лана Кроу,1296.0,10242,406958,0,502,23.08.2024,167,119.0,1256
Предатель. Оставайся с ней!,Алиса Роса,510.0,3245,89869,18+,139,17.11.2024,53,0.0,508
Лишняя невеста. Позор академии,Елена Шторм,844.0,5627,166330,0,592,23.10.2024,82,0.0,808
Я тебя не хочу,Елена Тодорова,9347.0,24651,2161287,18+,0,20.03.2024,480,0.0,8031
Лишняя жена дракона. Газетная империя попаданки,Нина Новак,544.0,3945,104033,0,323,18.10.2024,91,99.0,524
"Бывшие. Соври, что любишь",Даша Черничная,1371.0,7268,459089,18+,697,23.09.2024,117,119.0,1327
"Развод. Прошла любовь, завяли помидоры",Элен Блио,2204.0,9991,765037,18+,841,30.09.2024,119,119.0,2152
Измена. Я устал от тебя,Алиса Верди,598.0,3287,218785,0,323,27.10.2024,91,119.0,543
Предатель. Оставь меня в покое.,Ксения Нежная,535.0,3276,73846,0,148,15.11.2024,48,0.0,535
( Не) Любимая жена,Ани Марика,2500.0,4804,434673,18+,912,25.05.2023,319,159.0,2007
Сердце Вьюги,Полина Верховцева,1073.0,5343,262519,0,986,25.07.2024,170,119.0,1069
Жестокое сердце мажора,Маша Демина,645.0,4724,112940,18+,151,20.10.2024,70,0.0,641
Второе правило семьи Райс,Оксана Гринберга,748.0,5068,104911,0,411,01.11.2024,94,129.0,700
Тайный наследник для миллиардера,Тала Тоцка,7861.0,15418,2800617,0,2503,12.07.2022,196,169.0,6470
Опальная жена,Валентина Элиме,4965.0,12804,1153123,0,1099,13.06.2023,227,159.0,3964
Мой опасный император,Татьяна Гончарова,1146.0,6549,191630,18+,296,17.10.2024,87,119.0,1096
"Пошел вон, Чернов!",Наталья Шагаева,1268.0,5858,76978,18+,372,14.11.2024,64,119.0,1050
Мой Хищный Командор,Ева Арманда,1063.0,6999,254102,18+,346,18.10.2024,80,99.96,1049
Развод. Осколки нашей семьи,Зоя Астэр,1180.0,6287,936860,0,598,18.08.2024,152,129.0,1172
"Скажи мне ""нет""",Марина Кистяева,1496.0,7070,186090,18+,653,22.10.2024,89,129.0,1414
Спасти кронприца от невест,Орхидея Страстная,1740.0,8556,718297,18+,84,30.10.2024,123,0.0,1718
В сердце холода,Лана Кроу,3310.0,7068,634226,18+,295,11.10.2020,158,0.0,1693
Я (не) вернусь. Ты в прошлом,Лена Ручей,1366.0,5141,729398,18+,1502,31.07.2024,186,159.0,1364
"Леди из охотничьего домика, или Отвергнутая жена",Екатерина Стрелецкая,1010.0,6693,313525,0,388,06.09.2024,120,129.0,998
За твоей спиной,Лина Коваль,1079.0,3807,64445,18+,224,13.11.2024,53,119.0,893
Я разорву эту помолвку!,Хэйли Джейкобс,2510.0,8329,330290,0,268,27.12.2022,305,159.0,2284
Развод под 50. Невеста нашего сына,Виктория Вестич,523.0,3668,33092,0,171,29.11.2024,26,0.0,513
Развод в 45. Ухожу (не) красиво,Регина Янтарная,653.0,2750,110434,0,310,20.11.2024,52,99.0,555
Бывшая девушка принца,Маша Кужель,2897.0,11694,528755,18+,87,16.01.2024,224,0.0,2879
"Поверь мне снова, любимая",Вера Шторм,1389.0,6579,130662,0,0,04.10.2024,86,119.0,1381
Развод под ёлку в 50,Мэри Ройс,574.0,4062,60478,0,166,02.12.2024,22,0.0,570
"Измена. Я тебя купил, бывшая",Анна Арно,1061.0,6184,246910,18+,252,17.09.2024,76,119.0,1059
Госпожа для отверженных,Лена Хейди,1083.0,7049,156452,18+,539,10.08.2024,118,139.0,1065
Развод. Сын моего мужа,Ая Кучер,2094.0,8043,969632,0,1894,27.04.2024,218,179.0,2082
Измена. Мерзавец,Анна Арно,498.0,3688,23337,18+,48,18.11.2024,13,0.0,496
Грешник,Валерия Ангелос,1316.0,7043,166659,18+,263,10.10.2024,57,0.0,1314
Я слежу за тобой. Не бойся.,Олли Серж,1036.0,5454,247625,18+,398,02.10.2024,101,109.0,1022
Крепостная,Марьяна Брай,1174.0,4951,225379,0,346,23.07.2024,245,129.0,1140
Любимых не отпускают,Марья Коваленко,863.0,4212,33224,18+,185,01.12.2024,17,0.0,772
Тайный подарок для императора драконов,Натали Лансон,496.0,3662,13628,18+,72,27.11.2024,26,0.0,414
Училка и Чемпион,Маша Малиновская,1285.0,6029,196982,18+,613,11.09.2024,145,129.0,1257
В руках подонка,Виктория Вашингтон,503.0,2653,29280,18+,104,18.11.2024,36,119.0,424
Измена. Вместе (не) навсегда,Линда Мэй,484.0,3021,53794,18+,194,19.11.2024,40,0.0,472
Развод. Ты нас не вернешь,Панна Мэра,436.0,2112,111434,0,159,29.10.2024,73,119.0,420
"Помощь нужна, Снегурочка?",Инна Инфинити,731.0,3669,47600,18+,121,18.11.2024,39,0.0,723
Муж бывшим не бывает,Инна Инфинити,1294.0,6113,193452,18+,551,21.10.2024,86,119.0,1192
После развода. Мы (не) бывшие,Ая Кучер,730.0,3887,44585,18+,58,09.11.2024,25,0.0,730
Поместье для брошенной жены,Белова Екатерина,439.0,4116,8784,0,97,06.12.2024,4,0.0,425
Бывший муж. Вернуть семью,Анна Гур,1020.0,4612,123628,0,157,11.11.2024,59,119.0,1014
Эльфийский бык 3,Карина Демина,1136.0,3000,159390,0,751,09.08.2024,402,179.0,946
Под кожей,Мария Летова,1730.0,5195,224640,18+,898,01.10.2024,118,129.0,1518
Измена. Дай мне второй шанс,Мэри Кац,518.0,3311,43992,18+,121,28.11.2024,30,0.0,476
Развод. Счастье (не) с тобой,Таня Поляк,591.0,3259,54197,18+,165,28.11.2024,36,0.0,535
Разведена и очень опасна,Элен Блио,813.0,3231,26547,18+,177,04.12.2024,17,0.0,799
Измена. Любовь (не) вернется,Линда Мэй,1167.0,5272,377069,18+,491,16.09.2024,157,119.0,1151
Отвратительная жена. Попаданка сможет...,Анна Кривенко,726.0,4100,166266,0,769,11.10.2024,223,119.0,688
Хозяйка заброшенной фермы,Лиза Чехова,634.0,5677,191402,0,230,30.09.2024,81,99.0,630
Попаданка. Хозяйка врачебного кабинета для дракона,Елена Белильщикова,556.0,3192,239473,0,161,03.11.2024,51,109.0,464
Беспощадные чувства,Екатерина Юдина,6999.0,16650,1808150,18+,3803,06.12.2023,315,151.05,6170
Лишняя дочь. Наследство с прицепом,Валентина Элиме,2523.0,12220,787382,0,521,21.01.2024,163,159.0,2409
Хозяйка Северных гор,Адель Хайд,719.0,4103,63442,0,192,26.11.2024,37,0.0,639
Настоящий мужчина по вызову,Олли Серж,714.0,3706,86947,18+,167,30.10.2024,55,0.0,714
Госпожа Медвежьего угла,Светлана Шёпот,652.0,3726,58233,0,153,26.11.2024,36,0.0,594
"Невеста по контракту, или Запретная для Дракона",София Руд.,12862.0,17899,280182,0,247,16.09.2024,130,119.0,12842
Банный бизнес попаданки,Ольга Иконникова,822.0,5763,198347,0,340,14.09.2024,118,129.0,792
Тайна под сердцем,Слава Доронина,991.0,3484,63513,18+,353,01.11.2024,82,0.0,863
А мы с тобой не чужие,Юлия Бузакина,1252.0,7098,447579,0,1325,14.09.2024,168,119.0,1230
"Ресторан для попаданки ""Мишлен""",Ника Цезарь,1020.0,6770,330186,0,604,10.09.2024,161,129.0,1006
"Ты не такая! Да, я майор спецназа.",Taruna Poddubnaya,796.0,3481,213244,18+,728,08.10.2024,234,0.0,752
Мой развод с генеральным,Юлия Бузакина,389.0,2839,16911,0,116,03.12.2024,17,0.0,365
Развод. В 50 жизнь только начинается,Элли Лартер,505.0,3299,49453,0,294,02.12.2024,23,0.0,491
Предательство. Тень правды,Ася Петрова,454.0,2646,84214,18+,227,11.11.2024,50,0.0,454
Я всё у тебя отниму,Виолетта Стратулат,1139.0,3572,304999,0,366,01.02.2023,157,149.0,1027
Бывший. Неверный. Родной,Ольга Тимофеева,1020.0,4896,293934,0,267,02.10.2024,115,129.0,968
Землянка для стражей Авалора,Ева Мир,568.0,4406,139103,18+,92,20.10.2024,90,119.0,566
"Герцогиня на год, или Пробный брак с призванной",Екатерина Стрелецкая,16762.0,45795,6051686,0,2408,14.01.2024,263,0.0,16063
Разведенка. Беременна в 46,Оксана Барских,1203.0,6769,658183,0,505,23.09.2024,101,119.0,1187
"Бросаешь мне вызов, Тихоня?",Кристина Майер,3913.0,9800,1314816,18+,1436,04.08.2023,268,159.0,3461
"Советница короля, или От фаты не зарекайся",Ольга Обская,538.0,4672,132164,0,168,30.10.2024,94,119.0,485
А мы любили,Лия Султан,1358.0,4088,192454,18+,2046,18.10.2024,169,119.0,1284
Помощница для бывшего,Кристина Майер,14746.0,20785,3876449,0,2923,14.01.2021,187,159.0,8788
Нечаянная жена драконов,Терин Рем,1000.0,7329,219545,18+,641,20.05.2024,177,139.0,960
Куплю истинную. Дорого,Наталья Дорофеева,6443.0,36026,2590357,0,3417,30.06.2024,236,199.0,5329
"Измена. Моложе, не значит лучше",Лена Тэсс,1253.0,5715,382251,0,561,30.09.2024,87,119.0,1159
Развод. Уходи к молодой,Ева Стоун,922.0,4821,170148,18+,498,27.10.2024,69,119.0,916
Беглянка. Стрелы Амура,Любовь Негодяева,490.0,2415,110057,0,590,22.10.2024,144,0.0,490
Позор дебютантки,Кристина Юраш,857.0,4918,335698,0,1389,13.08.2024,200,119.0,843
Сводные. Лобовое столкновение,Юлианна Орлова,1568.0,5500,310843,18+,0,13.05.2024,168,129.0,1216
"Не борись со мной, малышка",Марья Коваленко,909.0,3938,28662,18+,260,26.11.2024,25,0.0,791
Мои,Мария Зайцева,1658.0,5284,132540,0,684,26.09.2024,87,119.0,1642
Невинная для миллиардера. Притворись моей,Татьяна Романская,345.0,3275,81670,18+,9,23.11.2024,150,159.0,345
Развод. Искусство слать всех на...,Каролина Шевцова,1622.0,5681,699620,0,1829,21.08.2024,135,119.0,1608
Жених напрокат. Цена проклятья,Екатерина Флат,237.0,2304,25480,0,94,27.11.2024,25,0.0,218
Невеста на Замену для Босса,Анна Гур,585.0,3125,88635,0,86,11.10.2024,91,119.0,581
Ты еще маленькая,Кристина Майер,3590.0,10149,1510530,18+,423,01.11.2022,164,159.0,3141
Предатель. Ты отвернулся от семьи,Евгения Вечер,398.0,2322,49893,18+,126,16.11.2024,48,0.0,392
Верь мне,Елена Тодорова,13177.0,17923,2721553,18+,4162,18.03.2023,439,179.0,9663
Развод. Мне (не) нужна твоя любовь,Ольга Белозубова,894.0,4269,352255,0,763,01.10.2024,113,119.0,870
Измена. Сегодня меня бросят,Мила Любимая,431.0,2405,97833,0,227,20.10.2024,89,0.0,415
,,0.0,0,0,0,0,,,0.0,0
Землянка и семь Альф,Ксения Рева,3526.0,11260,685528,18+,0,09.10.2023,179,151.05,2810
Рабыня Шейха. Пепел надежды,Ульяна Соболева,528.0,2308,42555,18+,241,23.10.2024,110,139.0,490
Бывшие. Первая жена,Мария Устинова,1223.0,7006,364554,18+,625,13.08.2024,193,0.0,1215
Попаданка в злодейку. Невеста дракона-императора,Виктория Свободина,1406.0,6355,216058,18+,1950,17.09.2024,136,0.0,1358
